experiment,unique_id,age,gender,stimulus_identity_condition,experiment_condition,task_order,completeness_acquisition_training,completeness_acquisition_testing,completeness_counterconditioning_training,completeness_counterconditioning_testing,mean_correct_acquisition_training,mean_correct_acquisition_testing,mean_correct_counterconditioning_training,mean_correct_counterconditioning_testing,passed_performance_criterion_acquisition_training,passed_performance_criterion_acquisition_testing,passed_performance_criterion_counterconditioning_training,passed_performance_criterion_counterconditioning_testing,self_reported_OEC_effect,self_reported_OEC_effect_controlling_stimulus_identity,self_reported_IR_effect,self_reported_IR_effect_controlling_stimulus_identity,complete_iat_data,iat_block_order,passed_iat_performance,IAT_D2,IAT_D2_controlling_stimulus_identity,behavioral_intentions_OEC,behavioral_intentions_IR,demand_response,reactance_response_1,reactance_response_2,confidence_stim_1,confidence_stim_2,confidence_stim_3,confidence_stim_4,believability_response_1,believability_response_2
6,6_76,27,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_counterconditioning,Implicits First,complete,complete,complete,complete,1,1,0.95,1,TRUE,TRUE,TRUE,TRUE,5.5,5.5,3,3,complete,learning_inconsistent_first,TRUE,-0.2504978109224889,-0.2504978109224889,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,5,3,2,3,2,no,NA
6,6_75,25,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_counterconditioning,Implicits First,complete,complete,complete,complete,0.9,0.875,1,0.875,TRUE,TRUE,TRUE,TRUE,-0.5,-0.5,0.25,0.25,complete,learning_consistent_first,FALSE,0.019445633930796048,0.019445633930796048,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,5,5,5,5,5,no,NA
6,6_68,34,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,complete,0.55,0.75,NA,0.75,FALSE,TRUE,NA,TRUE,0.75,0.75,5.25,5.25,complete,learning_inconsistent_first,TRUE,0.6279566707338187,0.6279566707338187,I would try Brand 1,I would try Brand 4,Not Demand Compliant,no,NA,4,3,3,2,no,NA
6,6_44,20,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_counterconditioning,Implicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,10,10,0,0,complete,learning_inconsistent_first,TRUE,-0.5772540972703886,-0.5772540972703886,I would try Brand 1,I don't know,Not Demand Compliant,yes,1,5,-5,5,-5,no,NA
6,6_41,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_counterconditioning,Explicits First,complete,complete,complete,complete,1,0.5,0.9,0.5,TRUE,FALSE,TRUE,FALSE,-0.75,-0.75,2.25,2.25,complete,learning_consistent_first,TRUE,0.41880430158937265,0.41880430158937265,I would try Brand 3,I would try Brand 2,Not Demand Compliant,no,NA,3,3,1,5,yes,5
6,6_35,36,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,complete,1,1,NA,1,TRUE,TRUE,NA,TRUE,5.25,5.25,1.75,1.75,complete,learning_consistent_first,TRUE,0.7093308924077439,0.7093308924077439,I would try Brand 3,I would try Brand 2,Not Demand Compliant,yes,5,5,5,5,5,no,NA
6,6_43,20,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_counterconditioning,Implicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,10,10,8.25,8.25,complete,learning_consistent_first,TRUE,0.5321275584401621,0.5321275584401621,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,1,5,5,5,4,no,NA
6,6_36,37,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,complete,1,1,NA,1,TRUE,TRUE,NA,TRUE,0,0,0,0,complete,learning_inconsistent_first,TRUE,-0.327225624428271,-0.327225624428271,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,2,0,0,0,0,no,NA
6,6_33,35,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Explicits First,complete,complete,NA,complete,0.9,0.625,NA,0.625,TRUE,FALSE,NA,FALSE,4.75,4.75,-3,-3,complete,learning_consistent_first,TRUE,-0.03705733398559745,-0.03705733398559745,I would try Brand 1,I would try Brand 4,Not Demand Compliant,yes,5,0,0,-5,0,no,NA
6,6_9,30,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_counterconditioning,Explicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,5,5,0,0,complete,learning_consistent_first,TRUE,-0.3761721118786514,-0.3761721118786514,I would try Brand 1,I would try neither Brand,Not Demand Compliant,yes,2,2,-1,2,2,no,NA
6,6_11,31,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_counterconditioning,Implicits First,complete,complete,complete,complete,1,0.75,1,0.75,TRUE,TRUE,TRUE,TRUE,-1,-1,3,3,complete,learning_consistent_first,TRUE,0.48886844737767277,0.48886844737767277,I would try Brand 3,I would try Brand 2,Not Demand Compliant,yes,6,1,3,2,-1,yes,4
6,6_4,37,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,complete,1,1,NA,1,TRUE,TRUE,NA,TRUE,-7.25,-7.25,-6.75,-6.75,complete,learning_inconsistent_first,TRUE,0.405855866498758,0.405855866498758,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,5,4,4,4,4,yes,5
6,6_3,31,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,complete,1,1,NA,1,TRUE,TRUE,NA,TRUE,0,0,1.5,1.5,complete,learning_consistent_first,TRUE,0.4602094494853125,0.4602094494853125,I would try Brands 1 and 3,I would try Brand 2,Not Demand Compliant,yes,5,2,0,0,1,no,NA
6,6_950704713,32,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_counterconditioning,Explicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,0,0,0,0,complete,learning_consistent_first,TRUE,0.43178683046581057,0.43178683046581057,I would try Brand 1,I would try Brand 4,Not Demand Compliant,yes,5,0,1,0,0,yes,5
6,6_459244001,26,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Explicits First,complete,complete,NA,complete,1,1,NA,1,TRUE,TRUE,NA,TRUE,9.75,9.75,9,9,complete,learning_consistent_first,TRUE,0.8397305743735397,0.8397305743735397,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,1,5,5,5,5,no,NA
6,6_143,37,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_counterconditioning,Implicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,1,1,1,1,complete,learning_consistent_first,TRUE,0.31662304303303435,0.31662304303303435,I would try neither Brand,I would try neither Brand,Not Demand Compliant,yes,2,1,1,0,0,no,NA
6,6_136,34,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,complete,0.6,0.625,NA,0.625,FALSE,FALSE,NA,FALSE,0,0,0,0,complete,learning_inconsistent_first,FALSE,0.4671809573820849,0.4671809573820849,I would try neither Brand,I would try Brand 4,Not Demand Compliant,yes,1,5,5,5,5,no,NA
6,6_141,37,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_counterconditioning,Explicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,0,0,0,0,complete,learning_consistent_first,TRUE,0.04787246277985399,0.04787246277985399,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,1,5,5,5,0,no,NA
6,6_133,30,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Explicits First,complete,complete,NA,complete,0.6,0.875,NA,0.875,FALSE,TRUE,NA,TRUE,-0.25,-0.25,-1.75,-1.75,complete,learning_consistent_first,TRUE,0.3730396232605811,0.3730396232605811,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,2,0,1,-2,-1,no,NA
6,6_109,34,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_counterconditioning,Explicits First,complete,complete,complete,complete,0.95,1,0.95,1,TRUE,TRUE,TRUE,TRUE,0.25,0.25,-1,-1,complete,learning_consistent_first,TRUE,0.026565559790777106,0.026565559790777106,I would try Brand 1,I would try Brand 4,Not Demand Compliant,yes,5,2,1,3,1,no,NA
6,6_110,32,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_counterconditioning,Explicits First,complete,complete,complete,complete,1,0.875,1,0.875,TRUE,TRUE,TRUE,TRUE,0.25,0.25,-0.25,-0.25,complete,learning_inconsistent_first,TRUE,0.6615651565042899,0.6615651565042899,I would try Brands 1 and 3,I would try Brand 2,Not Demand Compliant,yes,5,1,1,0,0,no,NA
6,6_111,37,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_counterconditioning,Implicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,0,0,0,0,complete,learning_consistent_first,TRUE,0.7309625456988371,0.7309625456988371,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,7,4,4,4,4,no,NA
6,6_103,22,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,complete,0.95,0.75,NA,0.75,TRUE,TRUE,NA,TRUE,0,0,0,0,complete,learning_consistent_first,TRUE,0.25592466588517615,0.25592466588517615,I would try neither Brand,I would try neither Brand,Not Demand Compliant,yes,1,3,3,3,3,no,NA
6,6_104,36,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,complete,0.9,0.625,NA,0.625,TRUE,FALSE,NA,FALSE,-0.25,-0.25,-0.25,-0.25,complete,learning_inconsistent_first,TRUE,0.5634412954102148,0.5634412954102148,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,3,3,3,3,3,no,NA
6,6_72,36,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,complete,1,0.625,NA,0.625,TRUE,FALSE,NA,FALSE,6.25,6.25,10,10,complete,learning_inconsistent_first,TRUE,0.15484179753938673,0.15484179753938673,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,5,5,5,5,5,yes,5
6,6_101,28,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,NA,complete,complete,NA,complete,1,1,NA,1,TRUE,TRUE,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6_102,22,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Explicits First,complete,complete,NA,complete,1,0.75,NA,0.75,TRUE,TRUE,NA,TRUE,0,0,0,0,complete,learning_inconsistent_first,TRUE,0.22872593753796983,0.22872593753796983,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,9,5,5,5,5,no,NA
6,6_77,34,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_counterconditioning,Explicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,7,7,5,5,complete,learning_consistent_first,TRUE,0.29168917159274416,0.29168917159274416,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,1,1,2,3,1,no,NA
6,6_79,20,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_counterconditioning,Implicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,4.75,4.75,-4.25,-4.25,complete,learning_consistent_first,TRUE,-0.25891839585854043,-0.25891839585854043,I would try Brand 1,I would try Brand 4,Not Demand Compliant,yes,7,3,2,3,1,yes,7
6,6_71,21,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,complete,1,1,NA,1,TRUE,TRUE,NA,TRUE,5.25,5.25,1.75,1.75,complete,learning_consistent_first,TRUE,0.42872118656207975,0.42872118656207975,I would try Brand 1,I would try Brands 2 and 4,Not Demand Compliant,yes,3,3,1,2,1,no,NA
6,6_78,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_counterconditioning,Explicits First,complete,complete,complete,complete,0.9,1,0.9,1,TRUE,TRUE,TRUE,TRUE,4.25,4.25,-2.25,-2.25,complete,learning_inconsistent_first,TRUE,0.8983636720122159,0.8983636720122159,I would try Brand 1,I would try Brand 4,Not Demand Compliant,yes,6,3,1,3,1,yes,4
6,6_47,29,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_counterconditioning,Implicits First,complete,complete,complete,complete,0.75,0.75,0.75,0.75,TRUE,TRUE,TRUE,TRUE,0,0,6.75,6.75,complete,learning_consistent_first,TRUE,0.25721862198466894,0.25721862198466894,I would try neither Brand,I would try Brand 2,Not Demand Compliant,no,NA,1,0,3,2,no,NA
6,6_46,25,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_counterconditioning,Explicits First,complete,complete,complete,complete,0.4,0.5,1,0.5,FALSE,FALSE,TRUE,FALSE,-7,-7,7.75,7.75,complete,learning_inconsistent_first,TRUE,-0.4461632355714631,-0.4461632355714631,I would try Brand 3,I would try Brand 2,Not Demand Compliant,yes,7,4,5,4,5,no,NA
6,6_38,35,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Explicits First,complete,complete,NA,complete,1,0.75,NA,0.75,TRUE,TRUE,NA,TRUE,5.25,5.25,2.25,2.25,complete,learning_inconsistent_first,TRUE,0.19701183499179986,0.19701183499179986,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,4,4,4,4,4,no,NA
6,6_16,29,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_and_counterconditioning,Implicits First,complete,complete,complete,complete,0.95,1,1,1,TRUE,TRUE,TRUE,TRUE,10,10,0,0,complete,learning_inconsistent_first,TRUE,-0.22309411430849474,-0.22309411430849474,I would try Brand 1,I would try Brands 2 and 4,Not Demand Compliant,yes,5,5,5,5,5,yes,5
6,6_7,31,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,complete,1,1,NA,1,TRUE,TRUE,NA,TRUE,6,6,6,6,complete,learning_consistent_first,TRUE,0.4716302111617384,0.4716302111617384,I would try Brand 1,I would try Brand 2,Not Demand Compliant,no,NA,5,5,5,5,yes,5
6,6_6,32,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Explicits First,complete,complete,NA,complete,1,1,NA,1,TRUE,TRUE,NA,TRUE,10,10,10,10,complete,learning_inconsistent_first,TRUE,0.21178676839928479,0.21178676839928479,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,1,4,3,3,3,yes,5
6,6_8,39,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition_only,Implicits First,complete,complete,NA,complete,1,0.875,NA,0.875,TRUE,TRUE,NA,TRUE,1.25,1.25,0.25,0.25,complete,learning_inconsistent_first,TRUE,0.13290553583197323,0.13290553583197323,I would try Brand 1,I would try Brand 4,Demand Compliant,yes,5,0,0,0,0,no,NA
6,6_153,30,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_counterconditioning,Explicits First,complete,complete,complete,complete,1,0.75,1,0.75,TRUE,TRUE,TRUE,TRUE,-7,7,3,-3,complete,learning_consistent_first,TRUE,-0.41589081400665484,0.41589081400665484,I would try Brand 3,I would try Brand 2,Not Demand Compliant,yes,1,4,4,4,5,no,NA
6,6_154,33,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_counterconditioning,Explicits First,complete,complete,complete,complete,0.95,1,1,1,TRUE,TRUE,TRUE,TRUE,-8.5,8.5,0,-0,complete,learning_inconsistent_first,TRUE,0.020349538276967782,-0.020349538276967782,I would try Brand 3,I would try Brand 2,Not Demand Compliant,yes,1,5,4,5,3,no,NA
6,6_148,30,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,Implicits First,complete,complete,NA,complete,1,1,NA,1,TRUE,TRUE,NA,TRUE,-10,10,-9,9,complete,learning_inconsistent_first,TRUE,-0.44062414226059365,0.44062414226059365,I would try neither Brand,I would try Brand 4,Not Demand Compliant,yes,5,5,5,5,5,yes,5
6,6_123,38,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_counterconditioning,Implicits First,complete,complete,complete,complete,1,0.875,1,0.875,TRUE,TRUE,TRUE,TRUE,0,-0,1.25,-1.25,complete,learning_consistent_first,TRUE,-0.3696260222438232,0.3696260222438232,I would try Brand 3,I would try Brand 2,Not Demand Compliant,yes,6,-3,-3,-3,-3,no,NA
6,6_116,21,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,NA,complete,complete,NA,complete,0.65,0.625,NA,0.625,FALSE,FALSE,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,6_114,24,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,Explicits First,complete,complete,NA,complete,0.95,1,NA,1,TRUE,TRUE,NA,TRUE,0,-0,0,-0,complete,learning_inconsistent_first,TRUE,-0.3411738949329942,0.3411738949329942,I would try neither Brand,I would try neither Brand,Not Demand Compliant,yes,1,5,5,5,5,no,NA
6,6_91,21,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_counterconditioning,Implicits First,complete,complete,complete,complete,1,1,0.95,1,TRUE,TRUE,TRUE,TRUE,-7.5,7.5,-5.5,5.5,complete,learning_consistent_first,TRUE,-0.38926805034494505,0.38926805034494505,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,1,5,4,5,5,no,NA
6,6_84,26,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,Implicits First,complete,complete,NA,complete,1,1,NA,1,TRUE,TRUE,NA,TRUE,-4,4,-4,4,complete,learning_inconsistent_first,TRUE,-0.04165175409638707,0.04165175409638707,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,5,4,4,4,4,no,NA
6,6_82,38,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,Explicits First,complete,complete,NA,complete,1,1,NA,1,TRUE,TRUE,NA,TRUE,-10,10,-2,2,complete,learning_inconsistent_first,TRUE,-0.9786830190917599,0.9786830190917599,I would try Brand 3,I don't know,Not Demand Compliant,yes,2,5,5,5,5,yes,9
6,6_90,22,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_counterconditioning,Explicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,-1,1,-3,3,complete,learning_inconsistent_first,TRUE,-0.6248280362120546,0.6248280362120546,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,5,3,3,4,4,yes,5
6,6_92,27,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_counterconditioning,Implicits First,complete,complete,complete,complete,0.95,0.5,0.9,0.5,TRUE,FALSE,TRUE,FALSE,0,-0,0,-0,complete,learning_inconsistent_first,TRUE,0.12962390960776185,-0.12962390960776185,I don't know,I don't know,Not Demand Compliant,yes,1,1,0,1,0,no,NA
6,6_60,32,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_counterconditioning,Implicits First,complete,complete,complete,complete,0.95,0.875,1,0.875,TRUE,TRUE,TRUE,TRUE,-2.5,2.5,-5.75,5.75,complete,learning_inconsistent_first,TRUE,-0.48907025160059064,0.48907025160059064,I would try Brand 1,I would try Brand 4,Not Demand Compliant,yes,2,-3,-3,-3,-3,no,NA
6,6_58,29,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_counterconditioning,Explicits First,complete,complete,complete,complete,1,0.875,1,0.875,TRUE,TRUE,TRUE,TRUE,-10,10,2.5,-2.5,complete,learning_inconsistent_first,TRUE,0.1520090516030012,-0.1520090516030012,I would try Brand 3,I would try Brand 2,Not Demand Compliant,yes,9,-5,5,5,0,yes,9
6,6_57,23,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_counterconditioning,Explicits First,complete,complete,complete,complete,0.95,1,0.9,1,TRUE,TRUE,TRUE,TRUE,-10,10,0,-0,complete,learning_consistent_first,TRUE,0.23289889428438207,-0.23289889428438207,I would try Brand 3,I would try neither Brand,Not Demand Compliant,yes,1,5,3,5,3,no,NA
6,6_51,30,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,Implicits First,complete,complete,NA,complete,1,1,NA,1,TRUE,TRUE,NA,TRUE,-1.75,1.75,0.25,-0.25,complete,learning_consistent_first,FALSE,NaN,NaN,I would try Brand 3,I would try Brand 4,Not Demand Compliant,no,NA,2,2,1,2,no,NA
6,6_49,37,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,Explicits First,complete,complete,NA,complete,0.95,1,NA,1,TRUE,TRUE,NA,TRUE,1.25,-1.25,0.25,-0.25,complete,learning_consistent_first,TRUE,-0.7051683011264152,0.7051683011264152,I would try Brand 3,I would try Brand 2,Not Demand Compliant,no,NA,-1,-1,0,-1,yes,9
6,6_27,30,F,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_counterconditioning,Implicits First,complete,complete,complete,complete,1,0.75,1,0.75,TRUE,TRUE,TRUE,TRUE,-10,10,-7.5,7.5,complete,learning_consistent_first,TRUE,-0.25506368191918843,0.25506368191918843,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,3,5,2,5,4,no,NA
6,6_28,30,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_and_counterconditioning,Implicits First,complete,complete,complete,complete,1,0.75,0.95,0.75,TRUE,TRUE,TRUE,TRUE,0,-0,0,-0,complete,learning_inconsistent_first,TRUE,-0.39752186287488184,0.39752186287488184,I don't know,I don't know,Not Demand Compliant,yes,8,0,0,0,0,no,NA
6,6_20,21,M,Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good,acquisition_only,Implicits First,complete,complete,NA,complete,0.95,1,NA,1,TRUE,TRUE,NA,TRUE,-6.25,6.25,-7.25,7.25,complete,learning_inconsistent_first,TRUE,-0.6030527463783946,0.6030527463783946,I would try Brand 3,I would try Brand 4,Not Demand Compliant,yes,5,2,3,2,4,no,NA
